date,Asset1,Asset2,Asset3,Asset4,Asset5
2019-01-02,231.5061,55.875,25.6492224693746,302.93,50.89
2019-01-03,231.0356,54.977,25.5030470252036,302.11,50.41
2019-01-04,230.4026,56.129,26.1471325760819,301.77,51.38
2019-01-07,230.0543,56.838,25.9552773056075,302.33,52.14
2019-01-08,229.7012,56.895,26.1379966108212,303.42,52.13
2019-01-09,230.155,57.63,26.1973803850157,304.67,52.86
2019-01-10,230.4994,57.667,26.348123811817,304.78,52.89
2019-01-11,230.8193,57.692,26.3709637249687,305.27,52.81
2019-01-14,231.0823,57.589,26.1928124023854,305.26,52.62
2019-01-15,231.3187,57.966,26.3389878465563,305.64,52.54
2019-01-16,231.4834,58.428,26.3572597770777,306.55,52.85
2019-01-17,231.4778,58.458,26.3618277597081,306.9,52.78
2019-01-18,231.4533,59.482,26.8368979532637,307.33,53.53
2019-01-21,231.3291,59.362,26.7683782138086,307.59,53.41
2019-01-22,231.6117,59.002,26.65417864805,307.47,52.98
2019-01-23,231.7206,58.655,26.5856589085948,307.25,53.06
2019-01-24,232.786,58.803,26.5902268912252,307.45,53.25
2019-01-25,232.8402,59.413,26.7181304048748,307.8,53.39
2019-01-28,232.6644,58.69,26.4577553949452,307.93,52.87
2019-01-29,232.6579,58.758,26.6998584743534,307.9,53.34
2019-01-30,232.8493,59.263,26.8551698837851,308.2,53.7
2019-01-31,233.3566,60.144,27.0059133105864,309.22,53.97
2019-02-01,232.5707,60.356,27.0881369979325,309.32,53.77
2019-02-04,232.4786,60.406,27.1155448937146,309.34,53.9
2019-02-05,232.3439,60.848,27.5449352609668,309.84,53.95
2019-02-06,232.1823,60.843,27.5220953478151,310.5,54.01
2019-02-07,232.1859,59.926,27.1657927026484,310.26,53.5
2019-02-08,232.2148,59.784,27.1155448937146,309.77,53.45
2019-02-11,232.1751,60.326,27.3028321815587,309.71,52.91
2019-02-12,232.2308,61.056,27.4124637646869,310.06,53.25
2019-02-13,232.5939,61.244,27.5403672783365,310.36,53.52
2019-02-14,232.7362,61.003,27.5182609420464,310.51,53.33
2019-02-15,232.754,61.66,27.9539667402954,310.56,54.12
2019-02-18,232.7746,61.861,27.9860713780612,310.95,54.5
2019-02-19,232.8894,61.836,27.9126893488824,311.28,54.43
2019-02-20,232.7082,61.999,28.1053171754767,311.43,54.81
2019-02-21,232.5826,61.814,28.0961444218293,311.53,54.92
2019-02-22,232.8227,62.184,28.1374218132424,311.69,55.14
2019-02-25,233.0297,62.608,28.1649400741845,312.2,54.53
2019-02-26,233.2063,62.357,28.2658403643053,312.67,54.6
2019-02-27,232.5685,62.006,28.2108038424212,313.13,55
2019-02-28,232.3292,62.148,28.2429084801869,313.3,54.82
2019-03-01,232.2761,62.163,28.297945002071,313.34,54.4
2019-03-04,232.6784,62.158,28.3896725385445,313.51,54.36
2019-03-05,232.7193,62.176,28.5272638432547,313.63,54.54
2019-03-06,233.4892,61.873,28.5364365969021,313.31,54.28
2019-03-07,234.7471,61.335,28.5226774664311,313.09,54.09
2019-03-08,234.7106,60.822,28.3208768861894,312.48,53.76
2019-03-11,234.4723,61.756,28.495159205489,312.61,54.01
2019-03-12,234.435,62.196,28.453881814076,313.26,54.38
2019-03-13,234.3044,62.623,28.678614278436,313.66,54.73
2019-03-14,234.47,62.595,28.903346742796,314.18,54.69
2019-03-15,234.555,62.933,29.1418383376271,314.33,54.69
2019-03-18,234.995,62.866,29.2060476131586,314.64,54.91
2019-03-19,234.59,63.413,29.3528116715161,315.06,55.03
2019-03-20,234.655,62.638,29.1372519608034,314.93,55.32
2019-03-21,235.6211,63.28,29.1647702217455,314.76,55.07
2019-03-22,235.75,62.558,28.8345510904409,314.65,54.58
2019-03-25,236.2305,62.236,28.7382371771438,314.36,54.79
2019-03-26,236.3364,62.613,28.9859015256222,314.64,54.89
2019-03-27,237.18,62.258,29.0225925402116,314.94,54.55
2019-03-28,236.7785,62.373,29.0225925402116,315.1,54.34
2019-03-29,236.65,62.891,29.1968748595112,315.42,54.73
2019-04-01,235.8753,63.558,29.4720574689317,316.02,54.96
2019-04-02,236.1217,63.694,29.5591986285815,316.67,54.93
2019-04-03,235.5119,64.124,29.7426537015285,317.09,55.08
2019-04-04,235.8886,63.903,29.7059626869391,317.06,55.22
2019-04-05,236.0778,64.247,29.7701719624705,317.21,55.18
2019-04-08,236.1516,64.229,29.7472400783521,317.28,55.41
2019-04-09,236.4443,64.042,29.637167034584,317.38,55.41
2019-04-10,236.8477,64.137,29.6417534114076,315.97,55.59
2019-04-11,236.8635,64.23,29.6004760199946,317.82,55.42
2019-04-12,236.0503,64.497,29.6050623968182,318.2,55.52
2019-04-15,235.6151,64.477,29.6279942809366,318.62,55.4
2019-04-16,235.484,64.66,29.7151354405864,318.85,55.2
2019-04-17,235.3109,64.439,29.6876171796444,319.1,55.25
2019-04-18,236.0125,64.393,29.7747583392942,319.17,55.15
2019-04-19,,,,,
2019-04-22,,,,,
2019-04-23,235.3953,65.067,29.9215223976518,319.16,55.19
2019-04-24,236.2293,65.204,29.9261087744754,319.22,55.1
2019-04-25,235.7831,65.074,29.9398679049465,318.76,54.96
2019-04-26,236.5869,65.11,29.9857316731832,318.58,54.41
2019-04-29,236.4154,65.394,30.0407681950673,318.74,54.37
2019-04-30,236.5748,65.12,30.1279093547171,318.83,54.37
2019-05-01,,,,,
2019-05-02,236.46,64.681,29.9627997890648,318.78,53.52
2019-05-03,236.7102,65.215,30.1324957315408,318.67,53.77
2019-05-06,236.6797,64.779,29.8297948611783,,53.37
2019-05-07,236.9445,64.172,29.4124345702239,318.03,53.12
2019-05-08,236.9893,64.08,29.5179212371684,,53.12
2019-05-09,236.5494,63.094,29.1234928303324,316.49,52.52
2019-05-10,236.5653,62.824,29.1418383376271,316.63,52.76
2019-05-13,236.7456,62.49,28.8850012355014,316.18,52.43
2019-05-14,236.6358,63.146,29.1739429753928,316.04,53.17
2019-05-15,237.016,63.296,29.3619844251635,316.18,53.48
2019-05-16,237.2897,64.118,29.8232267889958,316.69,53.78
2019-05-17,237.5793,63.904,29.7395842084096,317.02,53.44
2019-05-20,237.1612,63.233,29.4700692265209,317.25,53.43
2019-05-21,237.0506,63.555,29.5955330974002,317.44,53.47
2019-05-22,237.3108,63.459,29.5908862873676,317.52,52.84
2019-05-23,237.636,62.584,29.2702563951207,316.91,52.13
2019-05-24,238.0201,62.705,29.4654224164884,316.87,52.39
2019-05-27,238.0456,62.77,29.6001799074327,,52.87
2019-05-28,238.0531,62.692,29.405013886065,316.95,52.93
2019-05-29,238.76,61.593,29.0890308038507,316.56,52.85
2019-05-30,238.5373,61.773,29.2191414847625,,52.69
2019-05-31,239.0176,61.382,28.9542733129063,316.02,52.2
2019-06-03,239.5595,61.136,29.1262052841112,315.81,51.56
2019-06-04,240.0676,61.839,29.2795500151858,316.35,51.74
2019-06-05,240.4215,62.426,29.3353117355766,317.07,51.03
2019-06-06,240.9797,62.863,29.405013886065,317.53,51.07
2019-06-07,242.21,63.756,29.6605884378561,317.98,51.35
2019-06-10,241.1928,64.282,29.8092863588981,,51.61
2019-06-11,241.5922,64.066,29.9301034197448,318.92,51.67
2019-06-12,241.1797,63.841,29.8557544592237,318.61,51.59
2019-06-13,241.5356,63.976,29.8882821294517,318.79,51.74
2019-06-14,242.2023,64.001,29.7906991187679,318.87,51.9
2019-06-17,242.0498,64.126,29.767465068605,319,51.77
2019-06-18,244.1687,64.79,30.2925546022848,320.24,52.23
2019-06-19,243.6748,64.656,30.2879077922522,321.31,52
2019-06-20,244.3136,65.151,30.4226652831966,322.9,52.69
2019-06-21,243.5596,65.524,30.2832609822196,322.7,52.74
2019-06-24,244.0092,65.357,30.2460865019591,322.73,52.72
2019-06-25,244.4071,64.942,30.236792881894,322.43,53.23
2019-06-26,244.1894,64.679,30.1159758210473,322.2,53.39
2019-06-27,244.397,64.617,30.1113290110148,322.59,53.25
2019-06-28,244.573,64.932,30.3204354624801,323.07,53.38
2019-07-01,245.6481,65.593,30.5388355340106,323.84,52.71
2019-07-02,246.1012,65.537,30.6921802650853,324.24,52.07
2019-07-03,247.8861,66.141,30.9152271466483,324.93,52.34
2019-07-04,247.7571,66.368,30.9152271466483,325.4,52.39
2019-07-05,246.6901,65.908,30.7432951754435,325.54,52.43
2019-07-08,246.3324,65.815,30.7247079353132,325.11,52.48
2019-07-09,246.2267,65.805,30.6131844945317,324.48,52.31
2019-07-10,245.6264,66.17,30.5388355340106,324.48,53.25
2019-07-11,244.9347,66.393,30.4273120932291,324.78,53.43
2019-07-12,244.1134,66.513,30.3250822725127,324.8,53.56
2019-07-15,245.3618,66.597,30.3669035628058,324.69,53.45
2019-07-16,245.703,66.62,30.4691333835222,324.64,53.34
2019-07-17,246.3068,66.228,30.4133716631314,324.3,52.72
2019-07-18,246.8319,65.831,30.3808439929035,323.84,52.13
2019-07-19,246.8727,66.285,30.3947844230012,324.05,52.49
2019-07-22,246.7362,65.858,30.4273120932291,324.11,52.49
2019-07-23,247.0058,66.121,30.7340015553783,324.51,52.28
2019-07-24,247.8702,66.463,30.673593024955,325.08,52.87
2019-07-25,247.4834,66.529,30.4551929534245,325.89,52.64
2019-07-26,247.4804,66.794,30.641065354727,325.92,52.22
2019-07-29,247.6569,66.762,30.6782398349875,326.02,52.43
2019-07-30,247.6821,66.623,30.311141842415,325.37,52.35
2019-07-31,248.8025,66.639,30.3204354624801,325.39,52.46
2019-08-01,248.8911,66.566,30.4412525233268,325.44,51.77
